7.5,T
16.1,w
22.4,o
30.8,
39.6,r
50.3,a
61.2,n
65.8,d
75.3,o
84.0,m
89.9,
97.9,v
107.4,a
112.1,r
120.2,i
126.8,a
133.3,b
140.3,l
147.0,e
154.8,s
164.3,
170.2,w
177.8,e
184.2,r
191.2,e
198.6,
207.2,t
212.9,a
222.5,l
229.3,k
240.0,i
245.7,n
251.4,g
259.4,
265.8,i
271.8,n
278.6,
289.7,a
299.0,
301.4,b
308.4,a
317.4,r
326.1,.
331.6,
341.5,T
348.5,h
356.9,e
364.3,y
373.6,
381.1,t
391.1,h
399.2,o
405.8,u
415.2,g
425.0,h
433.8,t
439.3,
445.4,t
454.7,h
463.4,e
471.3,y
478.5,
488.6,w
498.4,e
502.7,r
507.9,e
516.8,
524.3,b
532.3,e
538.8,i
546.8,n
554.5,g
562.9,
571.3,d
578.4,i
585.2,s
589.8,c
592.9,r
602.2,e
612.6,t
621.3,e
628.7,
634.9,b
644.8,u
654.8,t
662.2,
672.4,I
680.5,
688.2,h
695.1,e
706.9,a
713.6,r
722.4,d
728.0,
737.1,t
746.3,h
756.0,e
766.9,i
772.5,r
778.8,
789.1,c
797.0,h
808.0,a
814.0,t
822.2,t
830.0,e
836.7,r
845.9,
855.3,c
863.6,o
871.1,n
880.3,t
891.3,i
899.7,n
905.9,u
911.7,o
921.1,u
933.0,s
945.2,l
953.3,y
