5410951,less
5410952,more
5410953,more
5410954,average
5410955,less
5410956,more
5410957,more
5410958,more
5410959,average
5410960,average
5410961,more
5410962,average
5410963,less
5410964,less
5410965,more
5410966,average
5410967,more
5410968,more
5410969,more
5410970,more
5410971,less
5410972,less
5410973,less
5410974,more
5410975,more
5410976,less
5410977,more
5410978,average
5410979,less
5410980,less
5410981,average
5410982,more
5410983,average
5410984,more
5410985,more
5410986,more
5410987,average
5410988,more
5410989,less
5410990,more
5410991,more
5410992,more
5410993,more
5410994,less
5410995,less
5410996,average
5410997,average
5410998,more
5410999,average
5411000,average
5411001,less
5411002,more
5411003,less
5411004,more
5411005,more
5411006,less
5411007,average
5411008,average
5411009,more
5411010,more
5411011,average
5411012,more
5411013,less
5411014,less
5411015,average
5411016,more
5411017,average
5411018,more
5411019,less
5411020,more
5411021,average
5411022,average
5411023,average
5411024,average
5411025,less
5411026,more
5411027,less
5411028,average
5411029,less
5411030,more
5411031,average
5411032,average
5411033,less
5411034,less
5411035,more
5411036,average
5411037,more
5411038,more
5411039,less
5411040,more
5411041,more
5411042,less
5411043,less
5411044,less
5411045,less
5411046,less
5411047,more
5411048,average
5411049,more
5411050,more
5411051,less
5411052,less
5411053,average
5411054,less
5411055,less
5411056,more
5411057,less
5411058,less
5411059,more
5411060,more
5411061,more
5411062,less
5411063,less
5411064,average
5411065,less
5411066,more
5411067,less
5411068,more
5411069,more
5411070,less
5411071,more
5411072,less
5411073,more
5411074,more
5411075,more
5411076,more
5411077,more
5411078,more
5411079,more
5411080,less
5411081,average
5411082,less
5411083,less
5411084,less
5411085,more
5411086,more
5411087,more
5411088,average
5411089,more
5411090,more
5411091,less
5411092,more
5411093,less
5411094,average
5411095,average
5411096,less
5411097,average
5411098,less
5411099,less
5411100,average
5411101,more
5411102,average
5411103,average
5411104,less
5411105,more
5411106,more
5411107,average
5411108,more
5411109,less
5411110,more
5411111,more
5411112,more
5411113,less
5411114,more
5411115,average
5411116,average
5411117,more
5411118,more
5411119,more
5411120,more
