9.4,T
19.9,h
27.3,e
31.3,r
43.5,e
54.9,
62.0,w
70.2,e
78.0,r
84.7,e
92.3,
104.9,m
113.2,a
124.5,n
130.2,y
137.9,
145.5,t
153.2,h
161.5,e
171.0,o
179.7,r
188.7,i
195.4,e
202.1,s
210.8,
220.8,a
226.5,b
232.2,o
240.2,u
246.5,t
256.0,
264.6,t
268.8,h
274.8,e
280.3,
288.4,s
292.9,t
302.4,r
307.2,a
315.3,n
322.6,g
329.1,e
336.9,
345.6,i
352.2,l
359.6,l
366.7,n
374.8,e
385.6,s
394.2,s
403.9,
412.0,o
421.7,f
429.5,
436.1,t
444.5,h
450.3,e
461.9,
471.9,s
480.1,e
487.6,c
494.4,o
500.2,n
511.2,d
517.3,
526.4,R
534.0,u
543.0,l
551.2,e
557.0,r
563.1,
570.4,o
581.2,f
591.7,
599.6,t
609.3,h
619.0,e
626.0,
635.8,F
643.2,r
653.1,e
663.1,e
670.2,
680.5,R
691.0,e
698.1,p
704.5,u
712.6,b
721.6,l
729.5,i
735.2,c
740.8,
749.1,o
755.2,f
763.0,
772.9,A
781.5,b
792.9,u
801.0,r
809.1,i
818.1,r
823.4,i
829.5,a
837.8,
844.8,b
853.9,u
862.6,t
870.5,
876.2,t
884.8,h
894.1,e
901.0,
908.5,m
916.8,o
923.1,s
931.8,t
939.1,
946.6,f
954.9,r
959.6,e
970.8,q
980.4,u
988.8,e
995.6,n
1007.5,t
1017.9,
1025.1,o
1034.4,n
1041.5,
1048.3,p
1055.3,e
1065.1,o
1073.6,p
1080.5,l
1089.3,e
1098.2,'
1108.4,s
1117.1,
1127.7,l
1133.3,i
1137.5,p
1145.1,s
1153.0,
1161.5,w
1172.7,e
1176.8,r
1183.6,e
1194.0,
1201.2,f
1207.1,i
1214.7,v
1221.9,e
1229.6,.
1240.8,
1247.8,
1253.8,T
1259.8,h
1269.5,e
1278.9,
1287.3,i
1296.6,l
1306.7,l
1314.8,n
1322.1,e
1330.8,s
1338.0,s
1345.5,
1353.7,s
1361.2,o
1370.8,
1379.3,c
1386.8,l
1396.2,a
1404.1,i
1413.2,m
1419.7,e
1426.2,d
1435.1,
1441.6,t
1446.9,h
1453.2,e
1462.1,
1471.0,f
1480.9,i
1487.2,r
1496.1,s
1504.0,t
1515.0,
1523.1,w
1527.4,a
1536.7,s
1546.8,
1555.7,b
1565.7,o
1572.9,r
1579.0,n
1585.4,
1591.0,o
1601.4,f
1609.4,
1618.2,a
1625.9,n
1634.8,g
1645.1,e
1652.9,r
1659.1,
1666.0,t
1671.2,h
1679.7,a
1687.5,t
1695.9,
1705.9,o
1711.7,n
1719.8,c
1726.0,e
1733.9,
1741.2,w
1752.2,e
1761.6,l
1769.4,l
1779.1,e
1786.0,d
1798.4,
1807.6,u
1814.9,p
1824.1,
1830.3,i
1845.8,n
1856.0,s
1869.3,i
1877.3,d
1884.6,e
1894.9,
1901.7,h
1909.0,i
1917.6,m
1925.2,;
1933.2,
1943.3,a
1950.6,n
1958.9,d
1967.2,
1974.8,h
1983.9,e
1992.4,
1999.6,w
2006.9,a
2017.9,s
2025.5,
2033.9,s
2042.9,o
2048.3,
2059.0,c
2066.1,o
2076.9,n
2087.9,s
2097.3,c
2106.7,i
2115.5,o
2126.2,u
2135.0,s
2141.3,
2151.5,o
2158.2,f
2165.0,
2173.5,t
2179.8,h
2188.0,e
2196.7,
2205.8,d
2215.1,a
2223.2,n
2233.8,g
2242.7,e
2253.1,r
2259.4,
2264.8,i
2273.8,t
2277.4,
2286.6,p
2295.0,o
2301.5,s
2309.2,e
2314.6,d
2323.7,
2334.9,t
2343.6,o
2349.1,
2357.0,h
2367.0,i
2372.7,s
2378.2,
2385.7,w
2392.6,e
2398.1,l
2406.1,l
2415.6,-
2427.5,b
2435.2,e
2439.3,i
2447.1,n
2451.5,g
2459.0,
2466.6,t
2469.0,h
2476.2,a
